"branch","subagency","agency","institution","gm_email","gm_website","gm_address","gm_phone","website","other_website","az_index","gov_man"
"executive office of the u.s. president",NA,"white house","u.s. council of economic advisers",NA,NA,NA,NA,"https://www.whitehouse.gov/cea/",NA,1,0
"executive office of the u.s. president",NA,"white house","u.s. council on environmental quality",NA,NA,NA,NA,"https://www.whitehouse.gov/ceq/",NA,1,0
"executive office of the u.s. president",NA,"white house","u.s. national security council",NA,NA,NA,NA,"https://www.whitehouse.gov/nsc/",NA,1,0
"executive office of the u.s. president",NA,"white house","u.s. office of management and budget",NA,NA,NA,NA,"https://www.whitehouse.gov/omb/",NA,1,0
"executive office of the u.s. president",NA,"white house","u.s. office of national drug control policy",NA,NA,NA,NA,"https://www.whitehouse.gov/ondcp/",NA,1,0
"executive office of the u.s. president",NA,"white house","u.s. office of science and technology policy",NA,NA,NA,NA,"https://www.whitehouse.gov/ostp/",NA,1,0
"executive office of the u.s. president",NA,"white house","u.s. trade representative",NA,NA,NA,NA,"https://ustr.gov/",NA,1,0
"executive office of the u.s. president",NA,NA,"the president",NA,NA,NA,NA,NA,NA,0,1
"executive office of the u.s. president",NA,NA,"the vice president",NA,NA,NA,NA,NA,NA,0,1
"u.s. executive branch",NA,"white house","u.s. department of agriculture",NA,"http://www.usda.gov","1400 Independence Avenue SW., Washington, DC 20250","202-720-2791","https://www.usda.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of commerce",NA,"http://www.doc.gov","Fourteenth Street and Constitution Avenue NW., Washington, DC 20230","202-482-2000","https://www.commerce.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of defense",NA,"http://www.defense.gov","Office of the Secretary, The Pentagon, Washington, DC 20301-1155","703-545-6700","https://www.defense.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of education",NA,"http://www.ed.gov","400 Maryland Avenue SW., Washington, DC 20202","202-401-2000","https://www.ed.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of energy",NA,"http://www.energy.gov","1000 Independence Avenue SW., Washington, DC 20585","202-586-5000","https://www.energy.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of health and human services",NA,"http://www.hhs.gov","200 Independence Avenue SW., Washington, DC 20201","202-690-6343","https://www.hhs.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of homeland security",NA,"http://www.dhs.gov","Washington, DC 20528","202-282-8000","https://www.dhs.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of housing and urban development",NA,"http://www.hud.gov","451 Seventh Street SW., Washington, DC 20410","202-708-1422","https://www.hud.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of justice",NA,"http://www.justice.gov","950 Pennsylvania Avenue NW., Washington, DC 20530","202-514-2000","https://www.justice.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of labor",NA,"http://www.dol.gov","200 Constitution Avenue NW., Washington, DC 20210","202-693-6000","https://www.dol.gov/",NA,1,1
"u.s. executive branch",NA,"white house","u.s. department of state",NA,"http://www.state.gov","2201 C Street NW., Washington, DC 20520","202-647-4000","https://www.state.gov/",NA,1,1
